"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Visual regression","0","Products Page","1","0","VR-06: Category accordion","0"
"0","Visual regression","0","Products Page","1","0","VR-05: Single product card at rest","0"
"0","Visual regression","0","Home Page","1","0","VR-02: Featured products grid","0"
"0","Visual regression","0","Products Page","1","0","VR-04: Catalog grid","0"
"0","Visual regression","0","Contact Page","1","0","VR-21: Contact success state","0"
"0","Visual regression","0","Home Page","1","0","VR-17: Site header for a signed-in user","0"
"0","Visual regression","0","Cart Page","1","0","VR-11: Cart table holding one product","0"
"0","Visual regression","0","Cart Page","1","0","VR-12: Add-to-cart confirmation modal","0"
"0","Visual regression","0","Product Detail Page","1","0","VR-08: Product information panel","0"
"0","Visual regression","0","Home Page","1","0","VR-03: Footer newsletter block","0"
"0","Visual regression","0","Product Detail Page","1","0","VR-09: Write-a-review form","0"
"0","Visual regression","0","Home Page","1","0","VR-01: Site header for an anonymous visitor","0"
"0","Visual regression","0","Cart Page","1","0","VR-13: Account guard shown to anonymous visitors","0"
"0","Visual regression","0","Products Page","1","0","VR-07: Catalog area after a search with no matches","0"
"0","Visual regression","0","Cart Page","1","0","VR-10: Empty cart state","0"
"0","Visual regression","0","Checkout Page","1","0","VR-20: Card entry form","0"
"0","Visual regression","0","Authentication Page","1","0","VR-14: Login form","0"
"0","Visual regression","0","Checkout Page","1","0","VR-19: Delivery address block","0"
"0","Visual regression","0","Contact Page","1","0","VR-18: Contact form","0"
"0","Visual regression","0","Authentication Page","1","0","VR-16: Full registration form","0"
